epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,3816.07,1.44816,0.93905,1.20185,0.60683,0.67855,0.60057,0.28699,2.02944,1.21633,1.61052,0.0005537,0.0005537,0.0005537
83,3862.51,1.45955,0.95606,1.19963,0.60072,0.65898,0.59428,0.29781,2.03477,1.21117,1.61142,0.000540861,0.000540861,0.000540861
84,3909.11,1.4244,0.93874,1.1828,0.58026,0.66765,0.57954,0.28358,2.07859,1.20262,1.63125,0.000528062,0.000528062,0.000528062
85,3955.72,1.42976,0.90918,1.18918,0.61831,0.64616,0.58485,0.27924,2.08085,1.20308,1.63681,0.000515308,0.000515308,0.000515308
86,4002.25,1.41453,0.92783,1.17737,0.61521,0.68667,0.59888,0.28975,2.07155,1.205,1.61157,0.000502605,0.000502605,0.000502605
87,4048.68,1.4296,0.91423,1.19061,0.62943,0.66089,0.59202,0.2849,2.06046,1.19825,1.60562,0.000489958,0.000489958,0.000489958
88,4095.13,1.39904,0.90397,1.16975,0.61661,0.6592,0.59379,0.2764,2.10786,1.21775,1.65709,0.000477373,0.000477373,0.000477373
89,4141.39,1.40669,0.91328,1.18195,0.6398,0.66642,0.59244,0.28343,2.08079,1.18907,1.63887,0.000464856,0.000464856,0.000464856
90,4187.74,1.39362,0.89183,1.17773,0.63156,0.61953,0.58197,0.28403,2.06995,1.21152,1.6264,0.000452412,0.000452412,0.000452412
91,4234.21,1.40197,0.90826,1.1795,0.62103,0.67008,0.60834,0.29252,2.04242,1.19302,1.6059,0.000440046,0.000440046,0.000440046
92,4280.73,1.37197,0.87089,1.16376,0.5787,0.62927,0.57739,0.28289,2.0474,1.22014,1.60999,0.000427764,0.000427764,0.000427764
93,4327.21,1.38807,0.90957,1.1565,0.58492,0.67062,0.58268,0.28519,2.05496,1.18972,1.61477,0.000415571,0.000415571,0.000415571
94,4373.74,1.39772,0.93094,1.17394,0.58431,0.6362,0.57572,0.28228,2.0785,1.22838,1.64343,0.000403473,0.000403473,0.000403473
95,4420.29,1.38807,0.88925,1.16532,0.61724,0.61875,0.60565,0.29866,2.03282,1.1884,1.60449,0.000391475,0.000391475,0.000391475
96,4466.84,1.3819,0.89709,1.1615,0.61975,0.6444,0.59628,0.29253,2.04788,1.18757,1.58656,0.000379582,0.000379582,0.000379582
